# number of transformations as funciton of N
# pmax=10 conv=0.001
3	4
4	6
5	9
6	11
7	15
8	22
9	27
10	35
20	246
30	749
40	1522
50	2471
60	3675
70	5127
80	6803
90	8663
100	10775
150	25177
200	45354
250	71650
&
3	9
4	16
5	25
6	36
7	49
8	64
9	81
10	100
20	400
30	900
40	1600
50	2500
60	3600
70	4900
80	6400
90	8100
100	10000
150	22500
200	40000
250	62500
